sentence	label
Belum balik dana refund serbu seru saya	transaksi
Pesanan saya dari kemarin belum di pick up gojek sameday kenapa ya min??	transaksi
Tiket #10085613 [Bukalapak] Konfirmasi Transaksi 181527127469  sampai kapan komplen nya selesai?? Slow respon dan ga ada penjelasan	transaksi
@appodi_haruok cek saldo buka emas dimn ya.? kok apl BL saya gak ada ya.? Ada nya bukadompet, DANA dan Credit.	produk
Saya hub BL sllu sibuk CS nya , tlg bntuannya BL19128RDFZWINV <enter> Tgihan sudah saya bayar sdh 4 jam yg lalu tp msi stts masi menunggu pmbayarn tlg infonya	transaksi
191714906666 pembeli sudah setuju	transaksi
Hallo @bukalapak berhubung saya sudah kecewa dengan apa yang terjadi dengan Serbu Seru mulai hari ini dan selamanya saya tidak akan ikut Serbuan yang nggak tau palsu apa asli ini. Ratusan kali saya ikut dan sekali dikecewakan karena dan 12.000 dianggap sebagai modal buka emas tanpa pemberitahuan sebelumnya membuat saya sadar bahwa Program Serbu Seru adalah program Bukalapak yang bagi saya tidak benar2 ada.. terima kasih sudah pelanggan mu amat sangat kecewa..buat yang lain yang masih tergiur dengan program Serbu Seru silahkan ikuti dengan senang dan yakin... terima kasih Bukalapak semoga tidak terjadi pada yang lain..	misuh
@sammygepe sudah tahu broğŸ˜’ b aja kali gak usah so pinter gitu	lainnya
Perhatikan jawaban dan pertanyaannya :D	lainnya
Pas tau saya gagal lagi dapetin emas, saya cukup tepukulğŸ˜­	misuh
Min DANA saya ada yg belum balik kok ya kemarin @bukalapak akun bandararloji	transaksi
Min, kok dana saya blum dibalikin sampai sekrang pas ikutan serbu seru udh sehari lebih min	transaksi
@bukalapak min tlg dibuka DM nya.. saya mengalami kendala.. terima kasih..	servis
Hayo siapa yang nyesel milih emas di serbu seruğŸ˜‚	misuh
Yg udh pernah menang serbu coba ceritakan disini....	lainnya
@yogathul pending ?	transaksi
191714906666 mohon dibantu aktifkan saya mau kirim.mksh banyak	transaksi
Untuk no teransaksi: 191707438801 kapan yang saya masuk ke dompet?... Dan untuk serbu 190880437376 knpa uang saya di kembalikan hanya 39perak?...	transaksi
Pantes saldo gk balik gmn mo ikutan srbu seru lgi.. Payah	misuh
Nembak siapa yaa ? Hahaha bingung min. Kemarin udh nyaman dengan hati yang amat baik min, tapi di sia siain,.,., eeh gak taunya aku ingt lagi.. Kasihan yaa min ğŸ˜‚ğŸ˜‚	lainnya
@sammygepe Gimana sih caranya liat saldo buka emasnya?? tolong dibantu gan, saya baru di Bukalapak	produk
Di kamus saja tak ada hari valentine min karena hari kasih sayang bagiku itu setiap hari dan sepanjang waktuğŸ˜ seperti sayangnya saya ke @bukalapak meskipun ikutan #serbuseru meleset terus tapi saya selalu semangat untuk terus ikutan karena rezeki itu ga akan jauh kemana. #bukalapakuntukindonesia #bukalapak	lainnya
Udah 2x24 jam saldo buka emas twtep 0 gak jelas nih @bukalapak	transaksi
Ikut serbu seru 2 hri gk kembali danaku meleset juga ada apa ini min	transaksi
@bukalapak tolong bls dm dong ka	servis
@roma_ilas ane jual td mlm 12.480	lainnya
@muhammadmadani3 nominalnya akan berbeda	lainnya
@roma_ilas kan bisa di jual lagi, balik ke buka dompet saldo nya	lainnya
Nembak versikuh adalah konsisten dengan apa yg kita perjuangin.  Punya gebetan jangan didiemin,  pas valentin gini momen pas buat kasih cincin.  Tanda pas buat lamar kawin.  Klo pun ditolak jgn dipikirin toh ada lagi jodoh yg lain @bukalapak  #BukalapakUntukIndonesia	lainnya
Kenapa sih, uang serbu seru bukalapak jika tidak menang. Uangnya dijadikan investasi buka emas tanpa persetujuan dari kita. Itu sama saja penipuan. Mengambil hak orang lain. Saya kecewa dengan tindakan ini. @bukalapak	misuh
@sammygepe ya tw tp buat jual aja ga bs balik uangna, trs ad yg blm balik lg saldo ke emasnya msh 59 rupiah tongggg!	misuh
@avip_lovato iyaa ğŸ˜‚ jadi rugi kita, biar kita nahan lebih banyak invest an lagi ke bukalapak.. Soalnya kalo lebih banyak invest mereka lebih banyak dpet % an juga dri bank2 ğŸ˜…ğŸ˜…	misuh
Mohon penjelasanya...	lainnya
Boleh bertanya ...	lainnya
Pagi admin Bukalapak...	lainnya
@_bayuwibowo djualpun hsilnya dbwh 12rbğŸ˜	lainnya
Kamu adalah bagian dari tulang rusuku dan akan sempurna jika bersama ku.@bukalapak	lainnya
@yogathul pihak bukalapak minta kita nahan dana invest ke buka emas bro ğŸ˜‚ jangan jual dulu, rate penjualan terus menurun jadi kita rugi kalo jual sekarang, permainan bukalapak ini wkkwkwkwk	misuh
Knpa jual emas selalu gagal -_-	transaksi
@sammygepe mu tanya ikur serbu bayar pake virtual account dana refundnya ke bukadompet apa jadi credits?	produk
Dunia ku terasa indah melihat dia cantik dan ku ingin memiliki dia namun diriku terasa sulit untuk mendapatkan dia , karena ku yakin ku bisa dengan cara pengenalanku lama kelamaan aku tersadar bahwa dia cocok buat diriku ini, aku sangat merasa yakin untuk mendapatkan dirinya hingga aku akhirnya mendapatkan cinta dia dengan cara ucapan ku yang membuat dia tertarik kepadaku , cinta memang harus di perjuangkan bukan untuk di lepaskan	lainnya
ğŸ‘†	lainnya
Kalau versi nembaknya untuk Bukalapak boleh ga yaaa...ğŸ˜‚ #BukalapakUntukIndonesia	lainnya
berkali-kali gue tembak eh mleset terus akhirnya gue serbu ehhh masijuga mleset mleset terus ğŸ˜¢ğŸ˜¢ğŸ˜¢ kapanya ketrimanya dan tulisanya berubah menjadi TERPILIH #BukalapakUntukIndonesia	lainnya
@b.ynfrsk kok pas yaa	lainnya
Kalau aku nembaknya pakai surat kecil min, isi nya gini.. "Dia bilang dia tidak rupawan dan bukan dambaan, walau begitu, hanya kehadirannya yg dapat membuatku tenggelam dan nyaman.  <enter> Dia bilang, dia tidak sekuat yang ku kira, seringkali punggung tegak dan senyuman yang ia tunjukkan palsu belaka, walau begitu, yang ku tahu adalah langkah yang tetap ia jejak meskipun hatinya retak lalu patah.  <enter> Dia bilang, dia sibuk dan tak punya waktu, walau begitu, yg kurasa adalah genggaman tangannya yg menarikku untuk tetap menyatu.  <enter> Dia bilang dia jauh dari kata sempurna, walau begitu, yg ku butuh adalah dia dan hanya dia karna dia lebih dari sempurna untuk ku.  <enter> Tolong sampaikan padanya ya, iya dia yg lagi baca.  <enter> Sampaikan kepadanya, bahwa aku menyayangi nya." <enter> Besoknya di terima deh, hehehhe.. #BukalapakUntukIndonesia	lainnya
@catsgrowup wtf	lainnya
@catsgrowup wkwk sama	lainnya
dear cintaku.... dihari yg penuh kasih sayang ini saya hanya ingin mengucapkan sesuatu hal pada mu. kalau kau mencari yg lebih tampan dari ku, di luar sana banyak yg lebih tampan dari ku. kalau kau ingin mendapatkan yg lebih kaya dan lebih mapan dari ku, di luar sana banyak yg lebih dr itu dr pd aku. tapi cobalah cari yg lebih setia, lebih pengertian dr aku, dan lebih memahami kamu selain aku. mungkin tidak ada selain aku... selamat hari valentine..#BukalapakUntukIndonesia	lainnya
cinta sejati adalah cinta yang tidal berasal dari hawa nafsu,tapi tulus untuk melindungin orang yang kita sayangin @bukalapak #bukalapakuntukindonesia	lainnya
cinta tak pandang dari rupa,dan pemberian tapi dari hati yang tulus tanpa memandang yang lain @bukalapak #bukalapakuntukindonesia	lainnya
@appodi_haruok oke terima kasih mas,sekarang udah ngerti.	lainnya
@sammygepe barusan cek juga ga ada, gimana dah	lainnya
@catsgrowup sama.	lainnya
@alfareall.jss anjay 50kg hahahahağŸ˜ğŸ˜ğŸ˜	lainnya
@sammygepe makasih tong, baru aja mau nanya	lainnya
Jangan kan sebatang coklat buat ngasih hadiah Valentine ke kamu, Pohon coklat pun akan ku Tebang demi bahagiain Cinta dari mu, wahai bidadari ku ğŸ˜ @bukalapak #bukalapakuntukindonesia	lainnya
@appodi_haruok oke skrng sya pahamğŸ”¥	lainnya
Yaaaa blm apa2 udah kepleset, sakit min kepleset trus ğŸ˜†ğŸ˜†ğŸ˜†	lainnya
@appodi_haruok terima kaaih bro ğŸ™ğŸ™ğŸ™	lainnya
Ada gak sih yg asli dapet hadiah dr serbu ?ğŸ¤” Klo saya amati yg dapet kok orang nya itu2 mulu.	misuh
@luthfyalfy buka saja dm yang saya kirim seperti itu tampilanya	servis
@luthfyalfy nih saya kirim dm capturenya	servis
@luthfyalfy pasti tau kita meleset bro,tinggal buka gambar yang ada dian sastro spesial 2.2,nanti kelihatan riwayat yang kita beli tinggal lihat saja produk yang kita beli diserbu,meleset terus,nama pemenangnya ada di situ tapi gak tau asli atau fiktif soalnya akun pemenang2nya gak ada yang bisa dibuka	misuh
@appodi_haruok nah iya, apalagi kalau digantung kita menang atau engga, sakit tauğŸ˜‚ğŸ˜…	misuh
@yoanovan tipikal org indo.. kagak baca aturan main/s&k.. main sikaat aja.. giliran gadapet pada berkoar protes ğŸ¤£ğŸ¤£ğŸ¤£	lainnya
@luthfyalfy kalau melihat itu gak tau bro,sya juga meleset sudah 500 x lebih ğŸ˜‚ğŸ˜‚,soalnya kalau buka akun pemenangnya gak bisa kebuka	misuh
@appodi_haruok kalo mau liat para pemenang hadiah dari serbu seru dimana sih	produk
@sammygepe mas, pengumuman serbu seru selain hadiah emas dimana sih,	produk
@puspadwinovianti buka saldo emas,tekan beli lagi,pilih jual lagi sekitar 0.021 gram	lainnya
@appodi_haruok ko di saya gk ada fitur jual ya? Dr kmrn bingung sendiri,tadi jg saldonya ke potong lagi.	produk
Tulisannya udah meleset semua warna kuning, tinggal diganti warna pink ğŸ˜‚	lainnya
Cek cek riwayat ,gak ada babibu 21transaksi meleset lngsung smuanya ,,mkin gaje nih bl	misuh
13 meleset semua	misuh
@sammygepe nambahin skalian udah pada baca blm refundnya ke buka emas max 2x24jam brrti bru ntar dini hri masuknya	lainnya
Jomblo min gmn mau menyatakan perasaan ğŸ˜‚ğŸ˜‚ğŸ˜… #bukalapakuntukindonesia	lainnya
@mrdzikri kalau saya ada mungkin kamu gak tau bukanya bro,buka saldo emas,ada yombol beli lagi,pencet saja,terus geser sampai kelihatan investmu,terus jual kalau dah laku kembali kesaldo uang	produk
@dyofhany_gummy karna belum kamu buka sampai ke beli nanti ada fitur jual,buka saja saldo emas,nanti pilih jual saja lagi naik 7 %	produk
@alfareall.jss 50 gr	lainnya
@ichsanex saya baca. Tapi pas cek saldo bukaemas tetap 0. Saya udah coba blanja emas sekalian liat apa saldonya ke-hide. Pas mo bayar ga ada pengurangan dr saldo bukaemas ğŸ˜‚	produk
Kata orang2 besok hari kasih sayang tapi bagi ku setiap hari adalah hari kasih sayang didalam rumah tangga kita cie cie ğŸ˜‚ğŸ˜‚ @andreasboyfernando #BukalapakUntukIndonesia	lainnya
@sammygepe saldo buka emasnya 0. Nyasar ke akun mana tuh refundnya?	transaksi
@dede_wahyu27 oh	lainnya
kamu tau ga @ameliya_sari19 besok itu tgl 14 februari kata org hari kasih sayang , kata tetangga aku juga ia , kata temen nya mamah aku jga sama , dan temen bapaku juga bilang gitu , dan temen nya temen bapaku jga bilang gtu, sama kaya temen nya mamahku dan tetangga nya mamahku dia bilang gtu jga , walaupun temen nya bapaku bilang gtu tapi temenya ibuku bilang gtu juga ko , kamu tau kan , ....	lainnya
Ngomongin soal nembak jd igt kisahku min. Cerita dikit y cara mantan pacarku dulu 'nembak' ak. Setelah 2x gagal nembak alias kutolak, ga bikin doi menyerah. Nembak ketiga doi bilang ' pokoknya diterima ga diterima km udh ak anggep pacar' wahhh bingung bgt waktu itu, secara dia lebih tua 7thn, dia tmn bos tempat ak krja partime'an jmn kuliah. Bingung mikir gmn lg caranya nolak yg alus. Akhirny ngasal aja krn udh mentok ak ajakin suit aj,kl doi menang jadian, kl kalah blm jodoh. Eh trnyt doi menang ğŸ˜‚. Ak alesan lg ga boleh pacaran sm ortu, doiny langsung k rumah minta izin langsung k bokap yg super killer. Singkat cerita 3 thn pacaran dari akunya yg tanpa rasa sampe akhirnya mau jg . Mg bs menginspirasi ğŸ˜…	lainnya
@asepnurdin20 yg dapet emas nya juga gak jelas siapa @bukalapak udh man saldo gi di balikin ğŸ˜¢	misuh
@mrdzikri sama senasib bro	misuh
Besok hari valentine,nikah yoook #bukalapakuntukindonesia	lainnya
@appodi_haruok emasnya juga blum balik bro, gmana tu ? msh 0 gram	produk
Setelah semua yang kau berikan selama ini, rasanya terlalu pelit jika aku tidak mengucapkan kata cinta padamu. Selamat hari valentine #bukalapakuntukindonesia	lainnya
Akhirnya aku menemukanmu untuk bilang "i miss u"  <enter> setelah kalimat Ampuh itu tertahan sekian lama untuk diUcapkan bibirku & tertahan cukup lama untuk ditulis oleh jariku ğŸ˜ <enter> Aku buang Gengsiku hanya untuk Bilang " I MISS U " , walau sekarang kita terpisah oleh Pulau, aku di Jakarta & kamu di Palu, aku yakin suatu hari nanti kita akan bertemu diPelaminan ğŸ˜†  <enter> karena hanya kamu yang bisa mengobati luka hatiku yang terluka beberapa tahun silam <enter> Yuk ikutan sahabat @edbert.ivander @fransisca.fortunata @etania.cassandra123 follow @bukalapak #BukalapakUntukIndonesia	lainnya
Disini banyak yg komplain ya tapi ga ngikuti instruksi dgn seksama, obsesi hadiah tp ga mau rugi astaga ğŸ˜‚ğŸ˜‚ğŸ˜‚ ber-flower oh ber-flower ğŸ˜.	lainnya
Nembak versi aku <enter> Sayang Tahun ini usiamu tepat 25 Tahun, tepat dihari Valentine aku kasih kamu baju Gamis warna putih biar semakin rajin Ke Masjid untuk: <enter> I = Ingat Sholat 5 waktu & Sholat Jum'at <enter> B = Berdoa, beramal & bersyukur <enter> A = Aku & kamu, Lamaran & Menikah tahun ini <enter> D = Ditabung uangnya, untuk masa depan <enter> A = Allah menjawab DOA & Ikhitiar kita <enter> H = Halal tujuan bahagia kita tahun ini, InsyaAllah Amin <enter> Tercinta:  <enter> Dari coklat1802 untuk keju2609 â¤ <enter> #BukalapakUntukIndonesia	lainnya
CINTA singkatan dari CILEUH DINA MATA	lainnya
Dengan cara tidak biasa di jaman sekarang.yaitu mengirimkan surat berisi kata-kata ungkapan dari hati , & itu t pernah gagal buat dia semakin sayang. #BukalapakUntukIndonesia	lainnya
Bukalapak menjual bakul <enter> Bakulnya terbuat dari jerami  <enter> You are so beautiful <enter> Will you be mine?  <enter> #BukalapakUntukIndonesia	lainnya
Testimoni yg dapet emas  krmaren ada gk y orang nya, please share yg yg ketiban emas 50 kgğŸ˜‚ğŸ˜‚ pingsan gk  y pas diumumin dapetğŸ˜®	misuh
@sammygepe dipostingan sebelumnya banyak yg ngeluh wkwk ğŸ˜…masih banyak yg malas membaca ternyata ğŸ˜‚	lainnya
Dengan cara bilang aja sejujur nya bahwa kita suka sama orang yang lagi Deket saat ini. Urusan ditolak belakangan, karena abis mengungkapkan perasaan kita juga butuh sebuah jawaban supaya tidak penasaran dan juga tidak digantung perasaaan nya. #BukalapakUntukIndonesia	lainnya
@appodi_haruok Emas nya juga ga ada, makanya bingung	produk
brang saya tidak sampai2 dari tanggal 22 januari sampai sekarang tanggal 14 februari,  tiap di tanya selalu ksih info yg tidak falid dan berbelit2 , tolong kerja sama nya min,  sudah lama kali ini . Saya butuh kejelasan dan titik terang masalah paket saya,  sudah 2 mnggu anda slalu blng lagi di investigasi oleh tim terkait. Id resi BLAPK191637604839	transaksi
hai @bukalapak makin hari tambah sukses aja ehehhe	lainnya
Nawarnya iseng2 aja sih... kan sebelum nya search harga di marketplace. Jadi kalo harga jual barang yg mau dibeli sama dgn harga di markrtplace ya ga di tawar..	lainnya
Menawar versi aku yaa... dari 50% hingga 90% Min ,kalau masih tetap ga boleh yaaa bye...bye...bye...ğŸ˜‚ #BukalapakUntukIndonesia	lainnya
Kemaren saya beli kamera sony a7ii dari harga 11,5 juta aku tawar jadi 11 juta, lalu ternyata uang saya kurang 500rb, akhirnya penjual saya goda akhirnya dia mau kalo saya bayar 10,5jt juta dulu, 500 rbnya minggu depan wkwkwk	lainnya
@dewi_sandi_1516 saldo buka emas jadi Rp 15.615, trs ini buat apaan. Huft	misuh
Makannya jangan di serbuin min , jdi habis weh emasnya ğŸ˜ğŸ˜	lainnya
Pernah beli handphone dengan harga 1.2 jt di tawar jadi 1,1 jt ğŸ‘ğŸ‘ğŸ‘ #BukalapakUntukIndonesia	lainnya
Beli box bayi creative harga asli 715.000 aku nego jadi 650.000 ehh gak bisa kejauhan sampai mentok nett 700.000.. kan lumayan diskon 15.000..terimakasih Bukalapak,, InsyaAllah kali ini aku bisa nego jg di serbu seru ya..aamiin#adibahalamudi#batu permatakik#bukalapakuntukIndonesia	lainnya
@andrejstmrg sampai kiamat juga gak bakal balik,kalau emasnya gak dijual ğŸ˜‚ğŸ˜‚	produk
@dewi_sandi_1516 ya gak bakal kembali ke saldo,kalau tidak jual emasnya ğŸ˜‚ğŸ˜‚	produk
aku tuh gak neko2 minta saldo balik atau gimana. yg penting bisa dapet laptop seharga 12ribu:( biar gak bebanin ibu kudu beliin baru :( macbook atau apapun itu deh:(	lainnya
Saya waktu nawar mahar istri saya dari 100jt jadi 10jt	lainnya
@dewi_sandi_1516 maksumal 2x24, ini belom sampe sehari dah pada ribut	lainnya
mungkin Emasnya abis ğŸ˜‚ lagi nyari di tambang dulu ğŸ˜†	lainnya
ğŸ”¥ğŸ˜¢ğŸ˜ğŸ‘	lainnya
@dewi_sandi_1516 kmren kn ad notif ny lgi ad mentenen kk... jd d tnggu aj kk  <enter> Krna w jga blom bliak jga 12k ny <enter> Heeeee	produk
@bukalapak tapi blum kembali ke dompet gan	produk
@dewi_sandi_1516 Hai, perihal pengembalian Serbu Seru BukaEmas kamu, apabila kamu belum terpilih untuk serbu seru BukaEmas, maka kamu akan menerima pengembalian uang dalam bentuk saldo BukaEmas yang akan diterima dalam waktu maksimal 2x24 jam, ya.	produk
Saya jg gara2 ikutan serbu buka emas tapi saldo saya tidak kembali lagi pdahal kan dstu tercantum bahwa kalau tdk menang bakal kembali noh duit tpi ternyata kagakk nyesell dehh gua	misuh
@andrejstmrg Hai, perihal pengembalian Serbu Seru BukaEmas kamu, apabila kamu belum terpilih untuk serbu seru BukaEmas, maka kamu akan menerima pengembalian uang dalam bentuk saldo BukaEmas yang akan diterima dalam waktu maksimal 2x24 jam, ya.	produk
Teryta byk m	lainnya
@rajangiler mending gk nego tp pake voucher potong ongkir 20rb,, soalnya klo nego gk bs pake potongan ongkir,,, wkwkwk	produk
@muntaha_7177 lumayan kan daripada ga sama sekaliğŸ˜‚	lainnya
Saya biasanya suka nawar dari setengah harga. Klo g dapat paling naikin dikit2 sampai deal ğŸ˜Š	lainnya
Biasa nya si kalo nawar palingan setengah harga dari harga jual kekkekekkek	lainnya
Maaf sebelumnya ya,saya juga saldonya ngak balik tapi saya ikhlasin aja itung itung udah diperolehkan buat nyerbu,coba kalau kita tak bisa ikutan buat nyerbu,lagi pula hanya 12rb dalam ratusan kali serbu.sukses dan sehat selalu buat para penyerbu #BukalapakUntukIndonesia #mitrabukalapak	produk
Paling beda 10 rb dr harga yang ditetapkan #mitrabukalapak #BukalapakUntukIndonesia	lainnya
Beautiful @bukalapak	lainnya
Paling banter di app cuman bisa kurang 5000, Kalo beli asli sih gapernah nawar, suka ga enak sama penjualnya.ğŸ¤£ğŸ¤£ #BukaLapakUntukIndonesia	lainnya
sabar dalam menawar	lainnya
barang 200rb an nego turunnya paling 5rb.... bs nembus 10rb ajh udh hebaaaat bgt.... hhhh	lainnya
Assalamualaikum ka, ijin pantun yahğŸ™Œ. Ke jogja beli nangka, wall decornya kakağŸ’•	lainnya
#BukalapakUntukIndonesia beli reciver digital harga 300 ribu ditawar menjadi 250 ribu	lainnya
@bukalapak min mau tanya, saldo buka emas itu ngeceknya di aplikasi bukalapak dibagian mananya? Saya tdk tau.trima kasih	produk
Min @bukalapak  aku dpt notife serbu bukaEmas, gmna selanjutnya mohon bantuanya terimakasih ğŸ™‚	produk
Check dm kak ada hal penting	servis
Baca DM MIN KENAPA DANA SAYA HILANG MAIN SERBA12 ITU	servis
Riwayatku panjangnya 2 meter tulisannya meleset semua... @bukalapak DM dong gmn caranya go meleset la..	servis
400x meleset,  akhirnya duit refund blm kembali 12rb nya.  Udh jatuh ketimpak tangga.  Apakah ada yg sama dgn saya?	misuh
jngn harap dpt serbu seru klo bukan pelapak	misuh
@zaujah_furqon aq jg 3x nyoba yg 2 dibatalin trus . Tp yg ke 3 bisa di bayar ststus nya bis itu mlm baru di cairin .	lainnya
@dewinm01 Uda AQ coba tapi GK bisa gagal muluk... Padahal internet saya lancar pake wifii Indi**e dirumah..	lainnya
cuma sekedar pemahaman, ada 2 devisi berbeda dan ada 2 program serbu seru berbeda, BL reguler dan BL mitra, untuk BL reguler buat umum dan BL mitra khusus barang serbuannya sudah berbeda syarat dan ketentuan sudah berbeda, jadi jangan disamakan, masak ya belum paham, kalau belum dapat ya berarati belum rejeki,	produk
@maulana_putra85 beda devisi beda program dan beda budget kali, emang belum rejeki aja	lainnya
@d.thonny dan satu lagi mas banyak yg bilang fiktif karena mereka g dapat2, di logika aja seluruh indonesia ada berapa orang yg ikut, klo belun rejeki ya terima saja lahğŸ˜‚	lainnya
@zaujah_furqon di jual aja nanti jg kmbali ke buka dompet aq jg kmren gtu	produk
Yang meleset pilih emas.. uang dikembalikan ke buka emas tapi GK dikembalikan ke buka dompet... Nyesel deh tau gitu GK pilih emas... Gimana seeeeh yg saldonya nipis jadi GK bisa milih lagi....	misuh
Congratulations Pak Victor ,Bukalapak memang dihati pelanggan #BukalapakUntukIndonesia	lainnya
Blum dapet juga huhu :( masih berharap di hari hari berikut nya :(	lainnya
@rizqysensei pengn bngt stroller bayi pdahal wt ank gw.. eeh.. Mleseet lgi.. ğŸ˜ªğŸ˜‚ğŸ˜…	lainnya
Alhamdulillah memang sudah rezeki @debyoctamonica	lainnya
@d.thonny awalnya ikut serbu emas dan kemudian batalkan transaksi itu setelah baca ulang klausal BL.	misuh
@ilhami_kaenjin spertinya hanya fiktif belaka.. Percuma.. Qt kaya nungguin telor ayam netas jadi dinosaurus	misuh
@d.thonny tul	lainnya
@robincandra syediih.. Cba lebih transparan ya, pdhal hdiah gausah yg mahalÂ² asal brmanfaat, org psti bnyk yg minat,  klo lbih trnsparan insaalloh lbih berkah. Tiap hari 20 item w serbu tdk satupun yg nyantol. ğŸ˜ŒğŸ˜‚	misuh
Ohh,jadi yg menang mitra buka lapak ya,kalau cuma customer bisa gak menang??soalnya saya gak pernah menang,dari zaman masih minicoper sampai rumah 1 MğŸ¤£ğŸ¤£meleset maning...	lainnya
Semoga saya yg terpilih  selanjutnya	lainnya
Mudah2an bisa menang	lainnya
Dr awal sampe sekarang blm dapat sama sekali . bener ga sih ..	misuh
